variable,coef,se,pval,model,r2
const,0.009867691226088368,0.003561889303391212,0.005599554507385,returns_t,0.030097554927799752
ptsi_z,-0.03255130744489173,0.014940838394790266,0.029355440308298338,returns_t,0.030097554927799752
const,0.0089265668926896,0.0036781449864745123,0.015227576033713424,returns_t_plus_1,0.020335873366696622
ptsi_z,0.026937865998115502,0.014747893252702158,0.0677664205526718,returns_t_plus_1,0.020335873366696622
const,0.1493005135702538,0.011016072724831426,7.608713245923612e-42,volatility_t,0.00040059299498962364
ptsi_z,0.008922528426765823,0.027283373383500047,0.7436438967546929,volatility_t,0.00040059299498962364
