date,polarity_mean,n_docs,ptsi_z,shock_flag
2024-01-02,0.9554,1,,0.0
2024-01-04,0.9892,1,,0.0
2024-01-05,0.9979,1,0.7601619947724736,1.0
2024-01-08,0.9968,1,0.5989178452903502,1.0
2024-01-09,0.9873,1,0.11411449835577486,0.0
2024-01-10,0.9666,1,-0.9017913548051776,-1.0
2024-01-11,0.9333,1,-1.7241552842248322,-1.0
2024-01-12,0.9898,1,0.5527297831116635,0.0
2024-01-16,-0.0129,1,-2.6609725446691943,-1.0
2024-01-17,-0.6597,1,-2.3908720859059707,-1.0
2024-01-18,0.9791,1,0.43674901899139035,0.0
2024-01-19,0.9945,1,0.44240575363726964,0.0
2024-01-22,0.9942,1,0.42254110403355966,0.0
2024-01-23,0.979,1,0.3774477793150419,0.0
2024-01-24,0.8323,1,0.07849342481909465,0.0
2024-01-25,-0.8493,1,-2.495965519731576,-1.0
2024-01-26,0.993,1,0.47014376784591794,0.0
2024-01-29,-0.9899,1,-2.2656263448780716,-1.0
2024-01-30,0.9906,1,0.5122777295034532,0.0
2024-01-31,0.9784,1,0.4797515866945637,0.0
2024-02-01,0.9747,1,0.46086621716371495,0.0
2024-02-02,0.9941,1,0.476538801847134,0.0
2024-02-05,0.9983,1,0.47034237607759205,0.0
2024-02-06,-0.9029,1,-2.1647677126395997,-1.0
2024-02-07,0.9576,1,0.45237691141364333,0.0
2024-02-08,0.9967,1,0.4965044045568957,0.0
2024-02-09,0.9753,1,0.4550364765545024,0.0
2024-02-12,0.8733,1,0.2981551940785092,0.0
2024-02-13,0.9936,1,0.4694838978650342,0.0
2024-02-14,0.9984,1,0.46725455977219693,0.0
2024-02-15,0.9959,1,0.4544741032911012,0.0
2024-02-16,0.8911,1,0.28510866601462176,0.0
2024-02-20,0.949,1,0.3709972984080295,0.0
2024-02-21,0.9982,1,0.44267102413866033,0.0
2024-02-22,0.9796,1,0.405472922222195,0.0
2024-02-23,0.9878,1,0.412329327139181,0.0
2024-02-26,0.9861,1,0.4031254948249707,0.0
2024-02-27,0.9953,1,0.41235904112786703,0.0
2024-02-28,0.9955,1,0.4066070222802808,0.0
2024-02-29,0.9969,1,0.4031587532345277,0.0
2024-03-01,0.9935,1,0.39167313115587554,0.0
2024-03-04,0.9989,1,0.39578029167345097,0.0
2024-03-05,0.9918,1,0.3780309617308275,0.0
2024-03-06,0.9962,1,0.38102480661428073,0.0
2024-03-07,0.9929,1,0.37030731773749653,0.0
2024-03-08,0.991,1,0.36233917874698013,0.0
2024-03-11,0.9908,1,0.3576703589124127,0.0
2024-03-12,0.986,1,0.3446187414528445,0.0
2024-03-13,0.9929,1,0.35366420586556696,0.0
2024-03-14,0.9962,1,0.3559771703209831,0.0
2024-03-15,0.9921,1,0.3442677151923676,0.0
2024-03-18,0.9955,1,0.34716187602694604,0.0
2024-03-19,0.0862,1,-1.4020586528759627,-1.0
2024-03-20,0.9919,1,0.3599055149640482,0.0
2024-03-21,0.9928,1,0.3579996567093681,0.0
2024-03-22,0.9871,1,0.3432754291571553,0.0
2024-03-25,0.9942,1,0.35396397060028667,0.0
2024-03-26,0.9623,1,0.28705103631938766,0.0
2024-03-27,0.991,1,0.34207572196890124,0.0
2024-03-28,0.9991,1,0.3553088382639709,0.0
2024-03-29,0.9936,1,0.34252192528635755,0.0
2024-04-01,0.9964,1,0.3480135025422056,0.0
2024-04-02,0.9974,1,0.3500928562213344,0.0
2024-04-03,-0.9827,1,-3.3025057624491074,-1.0
2024-04-04,0.9943,1,0.37110674167205937,0.0
2024-04-05,0.9743,1,0.3336788342578465,0.0
2024-04-08,0.9887,1,0.3585258573675118,0.0
2024-04-09,0.9778,1,0.33870062617299057,0.0
2024-04-10,0.996,1,0.34773846877772485,0.0
2024-04-11,0.9991,1,0.32341730159748905,0.0
2024-04-12,0.9937,1,0.3119065185940164,0.0
2024-04-15,0.9969,1,0.3183166383419675,0.0
2024-04-16,0.9834,1,0.2912951632406593,0.0
2024-04-17,0.9871,1,0.2985126529984241,0.0
2024-04-18,0.9915,1,0.3018238286261639,0.0
2024-04-19,0.9965,1,0.2793750392089501,0.0
2024-04-22,0.9965,1,0.27923212729237906,0.0
2024-04-23,0.6249,1,-0.7497413651593828,-1.0
2024-04-24,0.9888,1,0.24021966171208237,0.0
2024-04-25,0.9977,1,0.2634990298853541,0.0
2024-04-26,0.9994,1,0.2669317613727641,0.0
2024-04-29,0.9963,1,0.258396666093778,0.0
2024-04-30,0.9842,1,0.22617330518931886,0.0
2024-05-01,0.9972,1,0.22918587564771292,0.0
2024-05-02,0.9976,1,0.22815139519256977,0.0
2024-05-03,0.9961,1,0.22286125481966929,0.0
2024-05-06,0.9958,1,0.22053198472577343,0.0
2024-05-07,0.9957,1,0.21293433578691734,0.0
2024-05-08,0.9973,1,0.2183864638242454,0.0
2024-05-09,0.9933,1,0.2044988252893918,0.0
2024-05-10,0.9944,1,0.20849761027840824,0.0
2024-05-13,0.9768,1,0.14093411181852983,0.0
2024-05-14,0.9945,1,0.20102989048542816,0.0
2024-05-15,0.9733,1,0.12727594996905645,0.0
2024-05-16,0.9928,1,0.19571037714480746,0.0
2024-05-17,0.9944,1,0.20098536203193113,0.0
2024-05-20,0.9976,1,0.21163731552863213,0.0
2024-05-21,0.99,1,0.184984825170415,0.0
2024-05-22,0.9703,1,0.11657130094300104,0.0
2024-05-24,0.9371,1,0.002225994410073878,0.0
2024-05-28,0.9939,1,0.20396165962321935,0.0
2024-05-29,0.4517,1,-1.6501643538635373,-1.0
2024-05-30,0.9901,1,0.2177613230042827,0.0
2024-05-31,0.995,1,0.2348341370808756,0.0
2024-06-03,0.9791,1,0.18049939483451266,0.0
2024-06-04,0.9072,1,-0.06416638232666046,-0.0
2024-06-05,0.9959,1,0.24342285482874224,0.0
2024-06-06,0.9872,1,0.2131523560866603,0.0
2024-06-07,0.9876,1,0.21486234706778395,0.0
2024-06-10,0.9917,1,0.22936905925101478,0.0
2024-06-11,0.9382,1,0.04678656336782084,0.0
2024-06-12,0.9982,1,0.25499774978953116,0.0
2024-06-13,0.9939,1,0.20287389978470813,0.0
2024-06-14,0.8348,1,-0.3846692066270369,-0.0
2024-06-17,0.97,1,0.1242576748037358,0.0
