date,ptsi_z_weekly,polarity_mean,n_docs,spx_close_weekly,spx_close_weekly,spx_ret_weekly,ptsi_z,spx_ret,d_ptsi_z,spx_ret_lead1,rv_weekly,rv
2015-01-02,,0.9947,1.0,2058.2,,,,,,-0.006531829218775624,,
2015-01-09,0.6114089760755146,0.99458,5.0,2044.8,-0.006531829218775624,-0.006531829218775624,0.6114089760755146,-0.006531829218775624,,-0.012499547612994944,,
2015-01-16,-0.9713183712846488,0.9849,5.0,2019.4,-0.012499547612994944,-0.012499547612994944,-0.9713183712846488,-0.012499547612994944,-1.5827273473601635,0.015917019083391642,,
2015-01-23,-1.0430398230666718,0.5221750000000001,4.0,2051.8,0.015917019083391642,0.015917019083391642,-1.0430398230666718,0.015917019083391642,-0.07172145178202294,-0.028073406329648616,,
2015-01-30,0.1445342584449768,0.9467,4.0,1995.0,-0.028073406329648616,-0.028073406329648616,0.1445342584449768,-0.028073406329648616,1.1875740815116487,0.029875077013969176,,
2015-02-06,0.011641914078543125,0.8872199999999999,5.0,2055.5,0.029875077013969176,0.029875077013969176,0.011641914078543125,0.029875077013969176,-0.13289234436643368,0.019988624563986916,0.1652339546042758,0.1652339546042758
2015-02-13,0.25344314166292625,0.98844,5.0,2097.0,0.019988624563986916,0.019988624563986916,0.25344314166292625,0.019988624563986916,0.24180122758438313,0.006322365556347358,0.15242624189810425,0.15242624189810425
2015-02-20,-0.8937961290257496,0.4844333333333333,3.0,2110.3,0.006322365556347358,0.006322365556347358,-0.8937961290257496,0.006322365556347358,-1.1472392706886758,-0.002752208247642003,0.14252019445745714,0.14252019445745714
2015-02-27,0.07462004205043782,0.88584,5.0,2104.5,-0.002752208247642003,-0.002752208247642003,0.07462004205043782,-0.002752208247642003,0.9684161710761874,-0.015901479749147976,0.10923129109412075,0.10923129109412075
2015-03-06,0.3041904034473077,0.9927199999999999,5.0,2071.3,-0.015901479749147976,-0.015901479749147976,0.3041904034473077,-0.015901479749147976,0.22957036139686987,-0.008679473596612908,0.09318883615541036,0.09318883615541036
2015-03-13,0.2875678172605376,0.99354,5.0,2053.4,-0.008679473596612908,-0.008679473596612908,0.2875678172605376,-0.008679473596612908,-0.016622586186770094,0.026290112001397335,0.10956683780521687,0.10956683780521687
2015-03-20,-1.2467668302175592,0.31766,5.0,2108.1,0.026290112001397335,0.026290112001397335,-1.2467668302175592,0.026290112001397335,-1.5343346474780968,-0.02259576597580261,0.1271398058448094,0.1271398058448094
2015-03-27,0.10362546759125033,0.8767400000000001,5.0,2061.0,-0.02259576597580261,-0.02259576597580261,0.10362546759125033,-0.02259576597580261,1.3503922978088094,0.0029069787913093108,0.13634473239493636,0.13634473239493636
2015-04-03,0.3434926237087958,0.9855,5.0,2067.0,0.0029069787913093108,0.0029069787913093108,0.3434926237087958,0.0029069787913093108,0.23986715611754547,0.016838564362829524,0.14457815327918452,0.14457815327918452
2015-04-10,0.2726278099094771,0.95605,4.0,2102.1,0.016838564362829524,0.016838564362829524,0.2726278099094771,0.016838564362829524,-0.0708648137993187,-0.00999219462844948,0.12368279232449604,0.12368279232449604
2015-04-17,-0.1932140541279161,0.7461800000000001,5.0,2081.2,-0.00999219462844948,-0.00999219462844948,-0.1932140541279161,-0.00999219462844948,-0.4658418640373932,0.017385943653387716,0.106611834678191,0.106611834678191
2015-04-24,0.3423880826537659,0.9730800000000001,5.0,2117.7,0.017385943653387716,0.017385943653387716,0.3423880826537659,0.017385943653387716,0.535602136781682,-0.004448658543588264,0.08941181571419038,0.08941181571419038
