variable,coef,se,pval,model,r2
const,0.0023213947749497086,0.0008331699856991649,0.005332668626353057,returns_t,0.0010383184091155018
ptsi_z,-0.001478164223919281,0.00174624679443822,0.39728463127832236,returns_t,0.0010383184091155018
const,0.0023687871278272954,0.0008346613222936994,0.004539406521571902,returns_t_plus_1,0.01508390336036558
ptsi_z,-0.00564384928249731,0.0018866662010498007,0.002776648356368661,returns_t_plus_1,0.01508390336036558
const,0.14698517527211158,0.0048989792379536354,8.907519148718578e-198,volatility_t,5.554341780400485e-06
ptsi_z,-0.00042937915307809417,0.008444157918459936,0.9594456404960843,volatility_t,5.554341780400485e-06
