date,polarity_mean,n_docs,ptsi_z,shock_flag
2023-01-04,0.9601,1,,0.0
2023-01-05,0.9978,1,,0.0
2023-01-06,-0.998,1,-1.1545431027085455,-1.0
2023-01-09,0.9979,1,0.5126573803739521,1.0
2023-01-10,0.9907,1,0.4517351970245236,0.0
2023-01-11,0.9081,1,0.32979404146042424,0.0
2023-01-12,-0.9062,1,-1.4135806857953013,-1.0
2023-01-13,0.9958,1,0.5627657556428858,1.0
2023-01-17,0.9805,1,0.5089617430175233,0.0
2023-01-18,0.9956,1,0.49512452553314246,0.0
2023-01-19,-0.8519,1,-1.4799440949628846,-1.0
2023-01-23,0.9941,1,0.5684849471933475,1.0
2023-01-24,0.8961,1,0.43443622253569925,0.0
2023-01-26,0.9975,1,0.5315897205520546,1.0
2023-01-27,0.9971,1,0.5092689672409035,0.0
2023-01-30,0.9633,1,0.44918878850241584,0.0
2023-01-31,0.9971,1,0.4759864414119249,0.0
2023-02-01,0.9914,1,0.453014754141546,0.0
2023-02-02,0.993,1,0.441215811170706,0.0
2023-02-03,0.9876,1,0.42115155971453644,0.0
2023-02-06,0.9982,1,0.42437249092487744,0.0
2023-02-07,0.9764,1,0.382410915873034,0.0
2023-02-08,0.9866,1,0.3879501712347483,0.0
2023-02-09,0.872,1,0.2084523404813331,0.0
2023-02-10,0.9759,1,0.3623169974412249,0.0
2023-02-13,0.9987,1,0.3898786234555443,0.0
2023-02-14,0.9779,1,0.3490023669944974,0.0
2023-02-15,0.9807,1,0.34667069537743617,0.0
2023-02-16,0.9771,1,0.33424766315671983,0.0
2023-02-17,0.992,1,0.35294469250151944,0.0
2023-02-21,0.9816,1,0.3291209827188509,0.0
2023-02-22,0.9331,1,0.24021816883220673,0.0
2023-02-23,-0.9831,1,-2.723105771687211,-1.0
2023-02-24,0.9657,1,0.3437527983972468,0.0
2023-02-27,0.9832,1,0.3657863102374656,0.0
2023-02-28,-0.7096,1,-2.1736552369968485,-1.0
2023-03-01,0.9959,1,0.41917278037196204,0.0
2023-03-02,0.9947,1,0.4109784452622388,0.0
2023-03-03,-0.2512,1,-1.4681087751263986,-1.0
2023-03-06,0.9933,1,0.4341974179467059,0.0
2023-03-08,0.9972,1,0.43392566531253446,0.0
2023-03-09,0.9892,1,0.41557576780433403,0.0
2023-03-10,0.9935,1,0.4166717686857589,0.0
2023-03-13,-0.9283,1,-2.4324837884414166,-1.0
2023-03-14,0.9795,1,0.42086147370278537,0.0
2023-03-15,0.9968,1,0.4412757459978383,0.0
2023-03-16,0.9002,1,0.2904767844015878,0.0
2023-03-17,0.9947,1,0.43083974808749753,0.0
2023-03-20,0.9977,1,0.43028294266161143,0.0
2023-03-21,0.9955,1,0.4218460611065013,0.0
2023-03-22,0.9946,1,0.4156290196714277,0.0
2023-03-23,-0.9025,1,-2.4287885805610188,-1.0
2023-03-24,0.8658,1,0.2445230172466728,0.0
2023-03-27,0.8345,1,0.19486001899235864,0.0
2023-03-28,-0.9417,1,-2.3811133081818396,-1.0
2023-03-29,0.996,1,0.46234875338544074,0.0
2023-03-30,0.9996,1,0.46272935168192086,0.0
2023-03-31,0.9941,1,0.44984731564168223,0.0
2023-04-03,0.9915,1,0.44145697500839837,0.0
2023-04-04,0.9894,1,0.43397002423497927,0.0
2023-04-06,0.9523,1,0.37770489871011736,0.0
2023-04-07,0.9937,1,0.44087439327317,0.0
2023-04-10,0.9386,1,0.32704849439544575,0.0
2023-04-11,0.9919,1,0.4134822824143587,0.0
2023-04-12,0.978,1,0.3913867066819894,0.0
2023-04-13,0.9571,1,0.3560883164304463,0.0
2023-04-17,0.9912,1,0.3837664648635364,0.0
2023-04-19,0.9925,1,0.38611706001098367,0.0
2023-04-20,0.9935,1,0.38741223214633624,0.0
2023-04-21,0.9897,1,0.38105633246091425,0.0
2023-04-24,0.9883,1,0.34980534084556814,0.0
2023-04-25,0.9905,1,0.3540033699376533,0.0
2023-04-26,0.9931,1,0.35553441872687475,0.0
2023-04-27,0.9891,1,0.34842692882054677,0.0
2023-04-28,0.998,1,0.36486004193046084,0.0
2023-05-01,0.9922,1,0.35313474478503304,0.0
2023-05-02,0.9901,1,0.34949407736863425,0.0
2023-05-03,0.9904,1,0.35008361500842605,0.0
2023-05-04,0.988,1,0.34581780519642147,0.0
2023-05-05,0.9951,1,0.35868947719277505,0.0
2023-05-08,0.9976,1,0.36333421571159485,0.0
2023-05-09,0.8834,1,0.15509466072209266,0.0
2023-05-10,0.9966,1,0.36425712070860455,0.0
2023-05-11,0.9931,1,0.3537173904145606,0.0
2023-05-12,0.9968,1,0.35983391966966644,0.0
2023-05-15,0.9982,1,0.3624392528616625,0.0
2023-05-16,-0.869,1,-2.819360265379197,-1.0
2023-05-17,0.9962,1,0.38596290144876794,0.0
2023-05-18,0.9959,1,0.38483115054817896,0.0
2023-05-19,0.9971,1,0.3867248942087078,0.0
2023-05-22,0.9947,1,0.3821724229102578,0.0
2023-05-23,0.997,1,0.38405793384340475,0.0
2023-05-24,0.9922,1,0.3473424619921527,0.0
2023-05-26,0.9972,1,0.3555836870234253,0.0
2023-05-30,0.998,1,0.3565594258694121,0.0
2023-05-31,0.9962,1,0.32299820606563284,0.0
2023-06-01,0.9915,1,0.313719108791999,0.0
2023-06-02,0.9853,1,0.3016086959821148,0.0
2023-06-05,0.9861,1,0.2730680883809956,0.0
2023-06-06,0.9972,1,0.29618201293075586,0.0
2023-06-07,0.9934,1,0.288362819462371,0.0
2023-06-08,0.6941,1,-0.3284841842495149,-0.0
2023-06-09,0.9978,1,0.3076476669742766,0.0
2023-06-12,-0.7663,1,-3.4656168525562587,-1.0
2023-06-13,0.9664,1,0.24169507324601036,0.0
2023-06-14,0.9952,1,0.30337765382505183,0.0
2023-06-16,0.9931,1,0.29537477167596465,0.0
2023-06-20,0.997,1,0.3036241715332326,0.0
2023-06-21,0.9973,1,0.3042812143008907,0.0
2023-06-22,0.9957,1,0.30085237930491837,0.0
2023-06-23,0.997,1,0.3035385050071122,0.0
2023-06-26,0.9944,1,0.2647000331382422,0.0
2023-06-27,0.9963,1,0.2638719587750915,0.0
2023-06-28,0.9897,1,0.24123318879761058,0.0
2023-06-29,0.999,1,0.2287598875520966,0.0
2023-06-30,0.9919,1,0.2073915661844226,0.0
2023-07-03,-0.967,1,-4.53851006676505,-1.0
2023-07-05,0.997,1,0.25903106432640627,0.0
2023-07-06,0.9918,1,0.24631590691392738,0.0
2023-07-07,0.9972,1,0.2591681420328355,0.0
2023-07-10,0.7378,1,-0.36534019004282076,-0.0
2023-07-11,0.9828,1,0.23297388120125642,0.0
2023-07-12,0.9902,1,0.24883514344424953,0.0
2023-07-13,0.9938,1,0.25753485871207427,0.0
2023-07-14,0.9947,1,0.2590086286570907,0.0
2023-07-17,0.9959,1,0.26026897384735104,0.0
2023-07-18,0.9975,1,0.26389645953799723,0.0
2023-07-19,-0.8176,1,-3.6034111415424026,-1.0
2023-07-20,0.9843,1,0.2694462875061212,0.0
2023-07-21,0.9954,1,0.2930821162000375,0.0
2023-07-24,0.9963,1,0.29470524730289305,0.0
2023-07-25,0.9958,1,0.29342460558631983,0.0
2023-07-26,0.9866,1,0.2739057643649201,0.0
2023-07-27,0.9818,1,0.2638708980711968,0.0
2023-07-28,0.9902,1,0.2822268160731314,0.0
2023-07-31,0.9796,1,0.2599274446307186,0.0
2023-08-01,-0.8658,1,-3.2864752929579626,-1.0
2023-08-02,0.9977,1,0.32953698940979,0.0
2023-08-03,0.9825,1,0.30023689578631624,0.0
2023-08-04,0.9642,1,0.26580417626802966,0.0
2023-08-07,0.6696,1,-0.2954947505652164,-0.0
2023-08-08,0.9896,1,0.32209692036592397,0.0
2023-08-09,0.9481,1,0.24326770516000334,0.0
2023-08-10,0.9949,1,0.33403647796042596,0.0
2023-08-11,0.9892,1,0.3232461812115782,0.0
2023-08-14,0.9988,1,0.3418581687757797,0.0
2023-08-15,0.9993,1,0.3126986798055714,0.0
2023-08-16,0.9818,1,0.27564331989910396,0.0
2023-08-17,0.9389,1,0.1855599319210832,0.0
2023-08-18,0.9869,1,0.289194032862847,0.0
2023-08-21,0.8774,1,0.05791040554400587,0.0
2023-08-22,0.9758,1,0.2705550345446307,0.0
2023-08-23,0.9968,1,0.31558980933009695,0.0
2023-08-24,0.9857,1,0.29214097907501,0.0
2023-08-25,0.8591,1,0.02453690348182137,0.0
2023-08-28,0.9973,1,0.3223412826519074,0.0
2023-08-29,0.9853,1,0.2967223488747409,0.0
2023-08-30,0.995,1,0.31724596110010467,0.0
2023-08-31,0.9916,1,0.30970222755649635,0.0
2023-09-01,-0.9274,1,-3.371491268374136,-1.0
2023-09-06,0.9982,1,0.3525882296514295,0.0
2023-09-07,0.9878,1,0.3228722566079893,0.0
2023-09-08,-0.0871,1,-1.6794813287985175,-1.0
2023-09-11,-0.9648,1,-3.265291652043463,-1.0
2023-09-12,0.9585,1,0.29475479516543773,0.0
2023-09-13,0.9914,1,0.35578548441379765,0.0
2023-09-14,0.9625,1,0.30332949752601385,0.0
2023-09-15,0.9982,1,0.3693922343927837,0.0
2023-09-18,0.9966,1,0.3664541490342768,0.0
2023-09-19,0.8908,1,0.17393938959219593,0.0
2023-09-20,0.9873,1,0.3531224367580725,0.0
2023-09-22,0.9834,1,0.34627617229948726,0.0
2023-09-25,0.9906,1,0.35982275150220494,0.0
2023-09-26,0.993,1,0.3641564267892776,0.0
2023-09-27,0.9704,1,0.32324575223435353,0.0
2023-09-28,0.9968,1,0.37202880796135696,0.0
2023-09-29,0.9947,1,0.340128819533126,0.0
2023-10-02,0.9587,1,0.2677124055266102,0.0
2023-10-03,0.9416,1,0.23445992800361504,0.0
2023-10-04,0.9981,1,0.35040988440421394,0.0
2023-10-05,0.9963,1,0.33763703513654114,0.0
2023-10-06,0.998,1,0.3405461652909126,0.0
2023-10-10,0.9961,1,0.3364247197604328,0.0
2023-10-11,0.9895,1,0.32305162875877713,0.0
2023-10-12,0.9974,1,0.3391514553731718,0.0
2023-10-13,0.9938,1,0.33184799259912684,0.0
2023-10-16,0.9967,1,0.3378263521196396,0.0
2023-10-17,-0.0516,1,-1.9813158093125425,-1.0
2023-10-18,0.9912,1,0.32342777817187673,0.0
2023-10-19,0.9922,1,0.325768752866858,0.0
2023-10-20,0.9955,1,0.3330956303999374,0.0
2023-10-23,0.9966,1,0.3354941762813133,0.0
2023-10-24,0.9903,1,0.32141868422687775,0.0
2023-10-25,0.975,1,0.28787434408622214,0.0
2023-10-26,0.9947,1,0.3312351014745012,0.0
2023-10-27,0.9692,1,0.275287006037619,0.0
2023-10-30,-0.8779,1,-3.800785210488404,-1.0
2023-10-31,0.9975,1,0.3377183128365241,0.0
2023-11-01,0.9981,1,0.338405118822056,0.0
2023-11-02,0.9704,1,0.2770447484658208,0.0
2023-11-03,0.9974,1,0.3246819418897987,0.0
2023-11-07,0.9984,1,0.3265311911098835,0.0
2023-11-08,0.9926,1,0.3119581630596863,0.0
2023-11-09,0.9978,1,0.32331059172023957,0.0
2023-11-13,0.9905,1,0.3071563057036082,0.0
2023-11-14,0.9946,1,0.31637006286202474,0.0
2023-11-15,0.9975,1,0.322840178533309,0.0
2023-11-16,0.9072,1,0.12646584560486057,0.0
2023-11-17,0.9973,1,0.3229982202501731,0.0
2023-11-20,0.6891,1,-0.34582185331735416,-0.0
2023-11-21,0.9984,1,0.3315393234958866,0.0
2023-11-22,0.9991,1,0.3321373215771342,0.0
2023-11-24,0.9917,1,0.31604358795030235,0.0
2023-11-27,0.9969,1,0.32704429088463177,0.0
2023-11-28,0.9816,1,0.2886416073930507,0.0
2023-11-29,0.9985,1,0.32579007241668795,0.0
2023-11-30,0.9981,1,0.3243920278613939,0.0
2023-12-01,0.9982,1,0.3244822921632277,0.0
2023-12-04,0.9914,1,0.3095264246073805,0.0
2023-12-05,0.9939,1,0.28485172136467407,0.0
2023-12-06,0.9945,1,0.2865610625433715,0.0
2023-12-07,0.9987,1,0.2968211998999965,0.0
2023-12-08,-0.7341,1,-3.7806631310258343,-1.0
2023-12-11,0.9822,1,0.22190743326206377,0.0
2023-12-12,0.9966,1,0.2611456783390596,0.0
2023-12-13,0.9898,1,0.24180048265217305,0.0
2023-12-14,0.9964,1,0.25895148464656303,0.0
2023-12-15,0.935,1,0.08665876113153949,0.0
2023-12-18,0.9913,1,0.24779638122827446,0.0
2023-12-19,0.9847,1,0.22437015645891548,0.0
2023-12-20,0.9451,1,0.11330805304756686,0.0
2023-12-21,0.9953,1,0.25614476521330476,0.0
2023-12-22,0.9926,1,0.24832985916266295,0.0
2023-12-26,0.9973,1,0.2615385556990428,0.0
2023-12-27,0.9967,1,0.2584993693344683,0.0
2023-12-28,0.9972,1,0.25990698763288617,0.0
