date,ptsi_z_monthly,polarity_mean,n_docs,spx_close_monthly,spx_close_monthly,spx_ret_monthly,ptsi_z,spx_ret,d_ptsi_z,spx_ret_lead1,rv_monthly,rv
2015-01-31,-0.35323401238870383,0.8825052631578948,19,1995.0,,,-0.35323401238870383,,,0.053433858886661474,,
2015-02-28,-0.05460349433987292,0.8478222222222223,18,2104.5,0.053433858886661474,0.053433858886661474,-0.05460349433987292,0.053433858886661474,0.2986305180488309,-0.017544309650909508,0.10923129109412075,0.10923129109412075
2015-03-31,-0.09507773441656733,0.81195,22,2067.9,-0.017544309650909508,-0.017544309650909508,-0.09507773441656733,-0.017544309650909508,-0.040474240076694416,0.008475035077283992,0.14441010958883174,0.14441010958883174
2015-04-30,0.041824893667359565,0.8543714285714286,21,2085.5,0.008475035077283992,0.008475035077283992,0.041824893667359565,0.008475035077283992,0.1369026280839269,0.010446325528427296,0.08492147287281825,0.08492147287281825
2015-05-31,-0.2089932184244471,0.730065,20,2107.4,0.010446325528427296,0.010446325528427296,-0.2089932184244471,0.010446325528427296,-0.25081811209180666,-0.021245254171527193,0.1115670492185459,0.1115670492185459
2015-06-30,0.3514516825161432,0.9796190476190476,21,2063.1,-0.021245254171527193,-0.021245254171527193,0.3514516825161432,-0.021245254171527193,0.5604449009405903,0.019535527311273695,0.11397521599085811,0.11397521599085811
2015-07-31,-0.06173255009729495,0.7964681818181819,22,2103.8,0.019535527311273695,0.019535527311273695,-0.06173255009729495,0.019535527311273695,-0.4131842326134382,-0.06459556240694506,0.11791652457150244,0.11791652457150244
2015-08-31,0.22701223134285725,0.9604714285714285,21,1972.2,-0.06459556240694506,-0.06459556240694506,0.22701223134285725,-0.06459556240694506,0.2887447814401522,-0.026824484876401555,0.2676660833062774,0.2676660833062774
2015-09-30,-0.28111205670889977,0.7397666666666667,21,1920.0,-0.026824484876401555,-0.026824484876401555,-0.28111205670889977,-0.026824484876401555,-0.508124288051757,0.0797542045220426,0.22584531540039643,0.22584531540039643
2015-10-31,-0.5915772136823246,0.4545684210526316,19,2079.4,0.0797542045220426,0.0797542045220426,-0.5915772136823246,0.0797542045220426,-0.31046515697342486,0.00048079235504763134,0.12837959373581737,0.12837959373581737
2015-11-30,-0.0067329772058087765,0.6716263157894736,19,2080.4,0.00048079235504763134,0.00048079235504763134,-0.0067329772058087765,0.00048079235504763134,0.5848442364765158,-0.017700435451185194,0.1198073144804116,0.1198073144804116
2015-12-31,0.2728029476991732,0.808440909090909,22,2043.9,-0.017700435451185194,-0.017700435451185194,0.2728029476991732,-0.017700435451185194,0.27953592490498197,-0.052068686920548994,0.18429110759307668,0.18429110759307668
2016-01-31,0.21584094056254835,0.6771111111111111,18,1940.2,-0.052068686920548994,-0.052068686920548994,0.21584094056254835,-0.052068686920548994,-0.05696200713662483,-0.004131810443774005,0.23099766600312235,0.23099766600312235
2016-02-29,-0.03307650220600496,0.64025,20,1932.2,-0.004131810443774005,-0.004131810443774005,-0.03307650220600496,-0.004131810443774005,-0.24891744276855332,0.06390109102702257,0.20015180871281824,0.20015180871281824
2016-03-31,-0.020107263338841497,0.5938227272727272,22,2059.7,0.06390109102702257,0.06390109102702257,-0.020107263338841497,0.06390109102702257,0.01296923886716346,0.0027151531831724187,0.08862116916721807,0.08862116916721807
2016-04-30,0.31713027760047713,0.8879333333333334,21,2065.3,0.0027151531831724187,0.0027151531831724187,0.31713027760047713,0.0027151531831724187,0.3372375409393186,0.015232257608315649,0.10155952372575791,0.10155952372575791
2016-05-31,-0.18645169888605184,0.5880333333333333,21,2097.0,0.015232257608315649,0.015232257608315649,-0.18645169888605184,0.015232257608315649,-0.503581976486529,0.0009056460496504697,0.11125571389333626,0.11125571389333626
2016-06-30,-0.3537585502451978,0.42293181818181824,22,2098.9,0.0009056460496504697,0.0009056460496504697,-0.3537585502451978,0.0009056460496504697,-0.16730685135914597,0.034971381160567416,0.191327684821101,0.191327684821101
2016-07-31,0.3510699505545453,0.856755,20,2173.6,0.034971381160567416,0.034971381160567416,0.3510699505545453,0.034971381160567416,0.7048285007997431,-0.001242951017428247,0.0826205327369128,0.0826205327369128
2016-08-31,0.1508935651166085,0.7558391304347826,23,2170.9,-0.001242951017428247,-0.001242951017428247,0.1508935651166085,-0.001242951017428247,-0.2001763854379368,-0.0011983777245376662,0.054491592443466054,0.054491592443466054
2016-09-30,-0.028793409778850775,0.77371,20,2168.3,-0.0011983777245376662,-0.0011983777245376662,-0.028793409778850775,-0.0011983777245376662,-0.1796869748954593,-0.019607101515667386,0.14579113165461965,0.14579113165461965
2016-10-31,-0.006136669157420155,0.7791,20,2126.2,-0.019607101515667386,-0.019607101515667386,-0.006136669157420155,-0.019607101515667386,0.02265674062143062,0.033575408132000585,0.06625725741511611,0.06625725741511611
2016-11-30,-0.008524701929308662,0.71043,20,2198.8,0.033575408132000585,0.033575408132000585,-0.008524701929308662,0.033575408132000585,-0.002388032771888507,0.018028251030699192,0.10531481437715495,0.10531481437715495
2016-12-31,0.26079889481236174,0.9171761904761905,21,2238.8,0.018028251030699192,0.018028251030699192,0.26079889481236174,0.018028251030699192,0.2693235967416704,0.017752862371520958,0.07986032912673453,0.07986032912673453
2017-01-31,0.26838779905574023,0.7770736842105264,19,2278.9,0.017752862371520958,0.017752862371520958,0.26838779905574023,0.017752862371520958,0.0075889042433784915,0.036493010082794,0.06626959297255827,0.06626959297255827
2017-02-28,-0.1709360789087966,0.5547277777777777,18,2363.6,0.036493010082794,0.036493010082794,-0.1709360789087966,0.036493010082794,-0.43932387796453687,-0.0003808476020898143,0.05242819174132985,0.05242819174132985
2017-03-31,0.2452303064054336,0.8620050000000001,20,2362.7,-0.0003808476020898143,-0.0003808476020898143,0.2452303064054336,-0.0003808476020898143,0.4161663853142302,0.009058605414471349,0.06672666015376798,0.06672666015376798
2017-04-30,0.3115339915657276,0.96548,20,2384.2,0.009058605414471349,0.009058605414471349,0.3115339915657276,0.009058605414471349,0.06630368516029397,0.011509718385591177,0.07086091055768225,0.07086091055768225
2017-05-31,0.24152940297616887,0.9752090909090909,22,2411.8,0.011509718385591177,0.011509718385591177,0.24152940297616887,0.011509718385591177,-0.07000458858955871,0.004798156127930031,0.07953512060526358,0.07953512060526358
2017-06-30,-0.22250380810464773,0.8510636363636365,22,2423.4,0.004798156127930031,0.004798156127930031,-0.22250380810464773,0.004798156127930031,-0.46403321108081663,0.01916808793911549,0.07010476540392598,0.07010476540392598
2017-07-31,-0.29016220754232114,0.773205,20,2470.3,0.01916808793911549,0.01916808793911549,-0.29016220754232114,0.01916808793911549,-0.0676583994376734,0.000566572253116165,0.054957018711079234,0.054957018711079234
2017-08-31,0.08321811291287778,0.8926277777777778,18,2471.7,0.000566572253116165,0.000566572253116165,0.08321811291287778,0.000566572253116165,0.3733803204551989,0.01911460492854871,0.09726725752728316,0.09726725752728316
2017-09-30,-0.13318020293253657,0.7800499999999999,20,2519.4,0.01911460492854871,0.01911460492854871,-0.13318020293253657,0.01911460492854871,-0.21639831584541436,0.021945254247839493,0.05728946478432184,0.05728946478432184
