date,ptsi_z,polarity_mean,n_docs,shock_flag,source_file,spx_close,spx_ret,Change_pct,d_ptsi_z,spx_ret_lead1
2015-01-02,,0.9947,1,0.0,ptsi_2015_daily.csv,2058.2,,-0.0003,,-0.018437317408359424
2015-01-05,,0.9885,1,0.0,ptsi_2015_daily.csv,2020.6,-0.018437317408359424,-0.0183,,-0.008948160719929467
2015-01-06,0.5487348336412355,0.9945,1,0.0,ptsi_2015_daily.csv,2002.6,-0.008948160719929467,-0.0089,,0.01156770997520357
2015-01-07,1.0679470721459383,0.9984,1,0.0,ptsi_2015_daily.csv,2025.9,0.01156770997520357,0.0116,0.5192122385047028,0.017710834757314598
2015-01-08,-0.1181248846436868,0.9935,1,-0.0,ptsi_2015_daily.csv,2062.1,0.017710834757314598,0.0179,-1.1860719567896252,-0.008424895823004786
2015-01-09,0.9470788831585714,0.998,1,0.0,ptsi_2015_daily.csv,2044.8,-0.008424895823004786,-0.0084,1.0652037678022581,-0.008101981418473807
2015-01-12,0.2598254847514697,0.9956,1,0.0,ptsi_2015_daily.csv,2028.3,-0.008101981418473807,-0.008100000000000001,-0.6872533984071016,-0.0026164455969964542
2015-01-13,-2.0052764432584933,0.9828,1,-1.0,ptsi_2015_daily.csv,2023.0,-0.0026164455969964542,-0.0026,-2.265101928009963,-0.005800279008570172
2015-01-14,-1.1446327856251854,0.9863,1,-0.0,ptsi_2015_daily.csv,2011.3,-0.005800279008570172,-0.0058,0.8606436576333079,-0.009290776120636801
2015-01-15,-2.4604490946420534,0.9648,1,-1.0,ptsi_2015_daily.csv,1992.7,-0.009290776120636801,-0.0092,-1.315816309016868,0.01330993453168219
2015-01-16,0.4939409823510182,0.995,1,0.0,ptsi_2015_daily.csv,2019.4,0.01330993453168219,0.0134,2.9543900769930715,0.0015339323624260603
2015-01-20,0.722068500218524,0.9977,1,0.0,ptsi_2015_daily.csv,2022.5,0.0015339323624260603,0.0015,0.2281275178675058,0.00473537115325073
2015-01-21,-1.6848194309774955,0.9715,1,-0.0,ptsi_2015_daily.csv,2032.1,0.00473537115325073,0.004699999999999999,-2.4068879311960196,0.015188434481237434
2015-01-22,-3.47367137661917,-0.873,1,-1.0,ptsi_2015_daily.csv,2063.2,0.015188434481237434,0.015300000000000001,-1.7888519456416745,-0.005540718913522424
2015-01-23,0.2642630151114548,0.9925,1,0.0,ptsi_2015_daily.csv,2051.8,-0.005540718913522424,-0.0055000000000000005,3.737934391730625,0.002579767304815851
2015-01-26,0.2382066555100618,0.9837,1,0.0,ptsi_2015_daily.csv,2057.1,0.002579767304815851,0.0026,-0.026056359601392992,-0.013507766679475928
2015-01-27,0.2500231131962665,0.9928,1,0.0,ptsi_2015_daily.csv,2029.5,-0.013507766679475928,-0.0134,0.011816457686204734,-0.013542881293569075
2015-01-28,0.2521649428626886,0.9971,1,0.0,ptsi_2015_daily.csv,2002.2,-0.013542881293569075,-0.013500000000000002,0.002141829666422068,0.009444818432370144
